category,url,status_code,load_time_ms,ttfb_ms,request_count,total_bytes,seo_title,seo_meta_description,seo_canonical,seo_h1,seo_robots,images_total,images_missing_alt,images_broken,error_count,responsive_issue_count,a11y_violation_count,cls
404,/404,200,746,110,49,1004509,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
articles,/articles,200,1874,843,54,852787,Article Search | NORD Muntenia,,https://clauding8-model-b.ddev.site/articles,,,16,0,0,2,0,8,0.0
centers,/centers/centrul-de-imagistica,200,859,134,45,1004509,Centrul de Imagistica | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-imagistica,,,10,0,0,3,0,7,0.0
centers,/centers/centrul-de-imagistica/despre-centru,200,757,112,46,1004509,Despre centru | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-imagistica/despre-centru,,,10,0,0,3,0,6,0.0
centers,/centers/centrul-de-ortopedietraumatologie,200,836,122,45,1004509,Centrul de Ortopedie-Traumatologie | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-ortopedietraumatologie,,,10,0,0,3,0,7,0.0
centers,/centers/centrul-de-ortopedietraumatologie/despre-centru,200,726,101,46,1004509,Despre centru | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-ortopedietraumatologie/despre-centru,,,10,0,0,3,0,6,0.0
centers,/centers/san,200,951,306,43,846048,San | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san,,,10,0,0,3,0,7,0.0
centers,/centers/san/consult-senologic,200,895,170,46,1004509,Consult senologic | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/consult-senologic,,,10,0,0,3,0,6,0.0
centers,/centers/san/despre-centru,200,1301,538,38,777254,About centru san | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/despre-centru,Centrul Integrat de Patologie a Sânului din cadrul NORD Spitalul Muntenia: inovație și speranță în lupta împotriva cancerului; Servicii decontate CAS; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
centers,/centers/san/imagistica-s%C3%A2nului,200,1683,114,10,60247,Imagistica sânului | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/imagistica-s%C3%A2nului,,,10,0,0,3,0,6,0.0
centers,/centers/san/imagistica-s%C3%A2nului/mamografie,200,1449,247,31,490567,Mamografie | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/imagistica-s%C3%A2nului/mamografie,,,10,0,0,3,0,6,0.0
centers,/centers/san/imagistica-sânului,200,730,99,43,845823,Imagistica sânului | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/imagistica-s%C3%A2nului,,,10,0,0,3,0,6,0.0
centers,/centers/san/imagistica-sânului/mamografie,200,876,148,44,845823,Mamografie | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/imagistica-s%C3%A2nului/mamografie,,,10,0,0,3,0,6,0.0
centers,/centers/san/resurse-utile,200,837,134,44,845823,Resurse utile | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/resurse-utile,,,10,0,0,3,0,6,0.0
centers,/centers/san/servicii,200,789,155,45,845823,Services | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/san/servicii,,,10,0,0,3,0,7,0.0
centers,/centers/test/about-the-center,200,7492,6658,45,685588,About the test center | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/test/about-the-center,Servicii decontate CAS,,10,0,0,3,0,7,0.0
centers,/centers/test/food,200,4421,3724,41,685588,food | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/test/food,,,10,0,0,3,0,6,0.0
centers,/centers/test/food/soup-making-shinanigins,200,4447,2589,33,617019,soup making - food - test center | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/test/food/soup-making-shinanigins,,,10,0,0,3,0,6,0.0
centers,/centers/test/haircuts-on-offer,200,2250,1030,42,685588,haircut | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/test/haircuts-on-offer,,,10,0,0,3,0,6,0.0
centers,/centers/test/services,200,4493,3214,1,0,Services | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/test/services,,,10,0,0,3,0,6,0.0
centre,/centre,404,1141,154,32,406471,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,4,0,6,0.0
centre-medicale,/centre-medicale,404,2275,164,21,60247,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
centre-medicale,/centre-medicale/centrul-de-imagistica/despre-centru,404,2096,265,24,60247,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
centre-medicale,/centre-medicale/centrul-de-ortopedietraumatologie/despre-centru,404,1800,202,20,60247,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
centre-medicale,/centre-medicale/centrul-de-san/despre-centru,404,1276,124,28,60247,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
contact,/contact,200,1121,308,66,3865089,Pagina Contact | NORD Muntenia,,https://clauding8-model-b.ddev.site/contact,,,12,0,0,2,0,9,0.0
despre-noi,/despre-noi,200,1034,319,51,1490156,Despre noi | NORD Muntenia,,https://clauding8-model-b.ddev.site/despre-noi,Misiunea noastră,,13,0,0,3,0,5,0.0
form,/form/contact,200,1085,394,57,758989,Contact | NORD Muntenia,,https://clauding8-model-b.ddev.site/form/contact,,,10,0,0,2,0,7,0.0
form,/form/contact/confirmation,200,765,110,46,759157,Contact | NORD Muntenia,,https://clauding8-model-b.ddev.site/form/contact/confirmation,,noindex,10,0,0,2,0,6,0.0
form,/form/contact/drafts,403,1044,77,41,758989,Access denied | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,noindex,10,0,0,4,0,6,0.0
form,/form/contact/submissions,403,1050,315,41,758989,Access denied | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,noindex,10,0,0,4,0,6,0.0
form,/form/doctors-form,200,1169,270,47,2234627,Doctors Form | NORD Muntenia,,https://clauding8-model-b.ddev.site/form/doctors-form,,,10,0,0,2,0,9,0.0
form,/form/doctors-form/drafts,403,733,94,41,758989,Access denied | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,noindex,10,0,0,4,0,6,0.0
form,/form/doctors-form/submissions,403,937,71,38,690420,Access denied | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,noindex,10,0,0,4,0,6,0.0
homepage,/,200,5449,3592,77,5931225,frontpage | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,,66,4,39,2,2,11,0.0011
medici,/medici,404,1975,365,31,318615,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,4,0,6,0.0
