title,field_primary_speciality,field_image,field_about_doctor,field_competencies,field_professional_experience,field_education_training,field_conferences_seminars,field_awards_distinctions,field_publications,field_memberships,field_original_url
Dr. Anghel Tiberiu,Medic specialist Gastroenterologie,dr-anghel-tiberiu.jpeg,,"<p>Consultații în ambulatoriu</p>
<p>Endoscopii – spitalizare de zi</p>
<p>Colonoscopii – spitalizare de zi</p>
<p>Polipectomii – spitalizare de zi</p>","<p>Prezent: Medic specialist Gastroenterologie, Nord Muntenia Hospital</p>","<p>2017-2019: medic rezident gastroenterologie, Spitalul Clinic Colentina – București</p>
<p>2015-2017: medic rezident, la Spitalul Universitar Militar Central “Dr. Carol Davila” – București”</p>
<p>Absolvent al Facultății de Medicină “Victor Papilian” – Sibiu</p>","<p>2019 – Nutri Gastro Course</p>
<p>2017 – Obezitatea- abordare interdisciplinară</p>
<p>2016 – Update in chronic digestive diseases: What is changing, what is challenging</p>
<p>2016- Modern multidisciplinary approach on hepatic carcinoma</p>",,,,https://nord.ro/medici/dr-anghel-tiberiu/
Dr. Petria Alina,Medic primar Gastroenterologie,dr-petria-alina.jpeg,,"<p>Endoscopie digestivă diagnostică</p>
<p>Ultrasonografie generală (nivel I+ II)</p>","<p>2011-Prezent: Medic primar Gastroenterologie, Nord Muntenia Hospital</p>","<p>2008 -Medic specialist gastroenterologie</p>
<p>2003-2008 Rezidențiat în specialitatea gastroenterologie Spitalul Clinic Fundeni – Clinica de gastroenterologie Fundeni</p>
<p>2001-2002 Operator studii clinice la Compania Farmaceutică Merck-Sharp&amp; Dohme</p>
<p>2000-2001 Stagiatura în Medicină Clinică Spitalul Clinic Medicala III -Clinica de Gastroenterologie Cluj-Napoca</p>
<p>1993-1999 Facultatea de Medicină Generala ” Iuliu Hatirganu” Cluj-Napoca</p>",,,<p>Revista Societății Române de Gastroenterologie „Cauza rară de hiperbilirubinemie directă”</p>,"<p>Membru a Societății Romane de Ultrasonografie în Medicină și Biologie (SRUMB), membru afiliat al Federației Europene a Societăților de Ultrasonografie în Medicină si Biologie (EFSUMB).</p>",https://nord.ro/medici/dr-petria-alina/
Dr. Marmandiu Răzvan,Medic primar Pneumologie,dr-marmandiu-razvan.jpeg,,"<p>Consultații pneumologie</p>
<p>Spirometrii</p>","<p>2021- prezent Medic primar Pneumolog NORD Muntenia Hospital</p>
<p>2008-2013 Medic în Programul Național “Stop Fumat”</p>
<p>2007-2010 Responsabil cu protecția radiologică în Laboratorul RxT a Spitalului PNF “Sfântul Ilie” Pitești</p>","<p>2010 Medic primar Pneumologie</p>
<p>2005 Atestat-competență în Endoscopie Bronșică</p>
<p>2004 Medic specialist în Pneumologie, cursuri și stagii practice făcute sub îndrumarea metodologică a Institutului “Maris Nasta”</p>
<p>1996-1997 Medic stagiar la Spitalul Universitar București</p>
<p>1995 Absolvent al UMF Târgu-Mureș</p>","<p>Practică și curs universitar “Managementul noninvaziv al insuficienței respiratorii acute și cronice”</p>
<p>Spitalul Universitar Elias București, nov. 2017-mar. 2018. Cursuri: Ventilație non-invazivă. Hands on, SRP, nov. 2017, Ventilația non-invazivă în practica clinică, SRP, oct. 2016, Linde Workshop VNI, apr.2016, Timișoara, Workshop de Ventilație non-invazivă, SRP, oct 2014, Sibiu.</p>
<p>Severe Asthma Preceptorship, University Hospital Manchester, North-West Centre., iun. 2017.</p>
<p>Curs de Malpraxis, SRP și Universitatea Pitești, apr. 2016. Cursul de Polisomnografie. Hands on, SRP, iun.2015, Brașov,</p>
<p>Curs de Polisomnografie, SRP, iun. 2013, Sibiu.</p>
<p>Managementul cazului de MDR-TB, Centrul pentru Politici și Servicii de Sănătate și Programul Național de Control al Tuberculozei, iun. 2014.</p>
<p>Cursul privind implementarea strategiei naționale DOTS, Institutul “Marius Nasta”, 2004,</p>
<p>Cursul “Diagnosticul și terapia insuficienței respiratorii folosind noi tehnologii”, în cadrul Proiectului “Calitatea în serviciile medicale de Pneumologie” – POSDRU, mai 2012.</p>
<p>Școala de vară “Dezvoltarea capacității de prevenire și control al bolilor respiratorii în România”, atelierele: Management de proiect și surse de finanțare, Managementul calității, Institutul “Marius Nasta”, sep. 2008.</p>
<p>Cursuri de tabacologie: “Inițierea în terapia tabagismului”, “ Tehnici cognitive în terapia tabagismului”, “Curs de Sevraj Nicotinic”, Institutul “Marius Nasta”, 2008.</p>
<p>Curs de “Protecția radiologică în diagnosticul radiologic și radiologie intervențională” Centrul Național de Perfecționare în Domeniul Sanitar feb.-mar. 2007.</p>
<p>Curs de “Corticoterapia în practica medicală. Dovezi de eficiență și siguranță în administrare”, Societatea Română de Farmacologie, Terapeutică și Toxicologie Clinică, mar. 2002.</p>
<p>Curs în cadrul STEMI. De la ghiduri la practica medicală, 2000, Societatea Română de Cardiologie. Curs internațional de Epidemiologie și Infecții Nosocomiale, Ministerul Sănătății, Fundația “Merieux” Franța, CDC Atlanta, mai 1999</p>",,,,https://nord.ro/medici/prof-dr-marmandiu-razvan/
Dr. Băjan Flavius,Medic primar Urologie,dr-bajan-flavius.jpg,,"<p>Oferă consultații de specialitate</p>
<p>Competență ecografie generală</p>
<p>Litotritie extracorporeală</p>
<p>Chirurgia oncologică urologică</p>
<p>Operații endoscopice urologice (prostată, vezică urinară, ureter, rinichi)</p>
<p>Operații laparoscopice urologice</p>
<p>Tratamentul multimodal al litiazei urinare, operații uro-ginecologice anti-incontinență urinară, andrologie (Tratamentul disfuncțiilor sexuale ale bărbatului).</p>","<p>2011-prezent Medic primar urolog Nord Muntenia Hospital</p>
<p>1997-2013: Medic șef al Secției de Urologie a Spitalului Județean de Urgență Argeș</p>","<p>1997: Medic primar urolog</p>
<p>1991: Medic specialist urolog la Spitalul Clinic Fundeni, sub conducerea profesorului dr. docent Eugen Proca</p>
<p>1982: Absolvent al Facultății de Medicină Generală  ‘Carol Davila’ București</p>","<p>2013: Curs estro de brahiterapie în cancerul prostatei – Köln</p>
<p>Curs de utilizare a laserului în urologie: Clinica de Urologie a Spitalului Universitar din Szeged – Ungaria cu dr. Pajtor László</p>
<p>Cursuri de formare în laparoscopie urologică cu profesorul dr. Ioan Coman, profesorul dr. Jens Rassweiler, dr. Maria del Pilar Laguna Pérez</p>
<p>1995 Cursuri și training-uri de formare în endoscopie urologică cu dr. John Denstedt, la Clinica de Urologie Fundeni</p>
<p>1993 Cursuri și training-uri de formare în endoscopie urologică la Tg. Mureș cu profesorul Dr. Dorin Niculescu</p>",,,"<p>2004: Membru al Societății Europene de Urologie</p>
<p>1998: Membru al Societății Române de Urologie</p>",https://nord.ro/medici/dr-bajan-flavius/
Dr. Ionescu Gabriela,Medic specialist Psihiatrie,dr-ionescu-gabriela.jpg,,"<p>Consultații și tratamente, profilaxie</p>
<p>Psihoterapie de scurtă și lungă durată în afecțiuni psihiatrice /+- afecțiuni comorbide somatice</p>
<p>Psihoterapie integrată, psihoterapie cognitiv-comportamentală, interpersonala, dialectic-comportamentală și de susținere, motivațională / adulți, copii</p>
<p>Intervenții în criză, controlul stresului</p>
<p>Consultații homeopatie, tratamente și profilaxie în afecțiuni psihice și somatice, acute și cronice</p>","<p>2012-prezent medic psihiatru NORD Muntenia Hospital</p>
<p>2012-2013: director medical Muntenia Hospital, Pitești</p>
<p>2011: medic psihiatru, competență homeopatie</p>
<p>1999 – 2011: medic psihiatru psihoterapeut și medic homeopat, Toronto</p>
<p>1994: Specialitatea Psihiatrie, București, Ministerul Sănătății România</p>
<p>1994-1995: medic șef secția 1 psihiatrie/medic psihiatru, spitalul psihiatrie Vedea/policlinica cu plată Pitești</p>
<p>1993: Homeopatie, București, Ministerul Sănătății România</p>
<p>1990-1994: rezidențiat în psihiatrie spitalul de psihiatrie dr. Al. Obregia, București</p>
<p>1988-1990: medic medicină generală/ întreprindere/medic șef de dispensar</p>
<p>1985-1988: medic stagiar în medicină generală- spitalul jud. Argeș / centrul de perfecționare a medicilor și farmaciștilor București</p>",,"<p>1999: Psihiatrie, Psihoterapie și Homeopatie Canada</p>
<p>1994: Specialitatea Psihiatrie, București, Ministerul Sănătății România</p>
<p>1993: Homeopatie, București, Ministerul Sănătății România</p>
<p>1988: Medicină Generală, București, Ministerul Sănătății România</p>",,,,https://nord.ro/medici/dr-ionescu-gabriela/
Dr. Marcu Doina,Medic primar urologie,dr-marcu-doina.jpeg,,"<p>Consultații urologie</p>
<p>Competență Ecografie Generală</p>
<p>Competență Endoscopie Aparat urinar inferior</p>","<p>2014- prezent  Muntenia Medical Hospital</p>
<p>1986-2014 Medic primar urolog Spital Județean de Urgență Pitești Argeș</p>","<p>1983-1986 Medic rezident Secție Urologie Institutul Clinic Fundeni</p>
<p>1979-1982 Medic stagiar Spital Județean de Urgență Pitești</p>
<p>1973-1979 UMF „Carol Davila” Facultatea Medicină Generală București</p>",,,,,https://nord.ro/medici/dr-marcu-doina/
Dr. Mirzacu Ramona,"Medic primar Chirurgie Plastică, Estetică și Microchirurgie reconstructivă",dr-mirzacu-ramona.jpeg,,"<p>Consultații chirurgie plastică microchirurgie reconstructivă</p>
<p>Intervenții spitalizare de zi și continuă</p>","<p>2011- prezent medic primar chirurgie plastică microchirurgie reconstructivă NORD Muntenia Hospital</p>
<p>2014- prezent medic primar  Secția Chirurgie plastică microchirurgie reconstructivă a Spitalului Județean de Urgență Pitești.</p>","<p>Medic rezident în cadrul Clinicii Chirurgie plastică microchirurgie reconstructivă a Spitalului Universitar de Urgență București;</p>
<p>Absolventă a Facultății de Medicină și Farmacie Carol Davila București</p>",,,,,https://nord.ro/medici/dr-mirzacu-ramona/
Dr. Florea Silvia,Medic primar Chirurgie Generală,dr-florea-silvia.jpeg,,"<p>Consultații chirurgie generală</p>
<p>Intervenții spitalizare de zi și continuă</p>","<p>2014-prezent – medic primar chirurgie generală NORD Muntenia Hospital</p>
<p>2011-2013 – Medic rezident chirurgie generală – Spitalul de Urgență Militar Central „Carol Davila”, București</p>
<p>2011 – Medic rezident chirurgie generală – CHU Saint Eloi, Montpellier, Franța</p>
<p>2008-2011 – Medic rezident chirurgie generală – Spitalul de Urgență Militar Central „Carol Davila”, București</p>
<p>2008 – Medic rezident chirurgie generală – Spitalul Clinic de Urgență „Sf. Ioan”, București</p>
<p>2008-2008 – Medic rezident chirurgie generală – Spitalul Clinic Colentina, București</p>
<p>2006-2007 – Medic rezident medicină de familie – Spitalul de Urgență „Prof. Dr. Gerota” și Institutul de Ocrotire a Mamei și Copilului Alfred Rusescu, București</p>","<p>2013 -Medic specialist Chirurgie generală, Facultatea de Medicină și Farmacie</p>
<p>„Carol Davila”, București</p>
<p>2008-2013 – Rezidențiat Chirurgie generală – formare profesională – Centrul Universitar București</p>
<p>2006-2007 – Rezidențiat Medicină de familie – formare profesională – Centrul Universitar București</p>",,,,,https://nord.ro/medici/dr-florea-silvia/
Dr. Ogrean Carmen Alina,Medic primar Psihiatrie,dr-ogrean-carmen-alina.jpg,,"<p>Tulburări de personalitate</p>
<p>Tulburări afective</p>
<p>Tulburări neurocognitive</p>","<p>2019 – prezent: Medic Primar psihiatrie –  Nord Muntenia Hospital</p>
<p>2015 – 2018: Director Medical al Spitalului de Psihiatrie “Sf. Maria” Vedea</p>
<p>2016: Schimburi de experientă cu medici psihatrici din Franța</p>
<h4></h4>","<p>Medic primar – UMF Carol Davila, București</p>
<p>Medic rezident psihiatrie – UMF Carol Davila, București, Clinica IX, Prof. Prelipceanu Dan</p>
<p>Absolventă a UMF Târgu Mureș, Facultatea de Medicină</p>",,,,,https://nord.ro/medici/dr-ogrean-carmen-alina/
Dr. Diaconescu Georgiana,Medic Specialist Psihiatrie Pedriatica,dr-diaconescu-georgiana.jpeg,,"<ul>
<li>consultații</li>
<li>consiliere parentală</li>
<li>program educațional ADHD</li>
<li>psihoterapie copii şi adolescenți</li>
<li>tehnici educaționale în managementul  tulburărilor anxioase</li>
</ul>",,,,,,,https://nord.ro/medici/dr-diaconescu-georgiana/
